Affaires autochtones et Développement du Nord Canada,2013,1,A-2012-00467,"Tous les courriels internes et externes envoyés à Sulaiman Nasir ou envoyés par ce dernier, ainsi que tous les autres documents produits par Sulaiman Nasir se rapportant au programme Aliments-poste ou au programme Nutrition Nord Canada entre le 1er août 2010 et le 31 août 2011.",Communication partielle,1137,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2014,1,A-2012-00467,"Tous les courriels internes et externes envoyés à Sulaiman Nasir ou envoyés par ce dernier, ainsi que tous les autres documents produits par Sulaiman Nasir se rapportant au programme Aliments-poste ou au programme Nutrition Nord Canada entre le 1er août 2010 et le 31 août 2011.",Communication partielle,1137,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2013,1,A-2012-00468,Tous les documents antérieurs au 30 juin 2012 se rattachant à la visite du rapporteur spécial des Nations Unies sur le droit à l’alimentation au Canada.,Communication partielle,1260,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2014,1,A-2012-00468,Tous les documents antérieurs au 30 juin 2012 se rattachant à la visite du rapporteur spécial des Nations Unies sur le droit à l’alimentation au Canada.,Communication partielle,1260,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2014,1,A-2012-00574,"Copie du plus récent dossier ministériel de synthèse fourni à l’honorable John Duncan, ministre des Affaires autochtones et du développement du Nord canadien, y compris toute note ou toute information supplémentaire sur le Nunavut.

 Copie de la plus récente lettre de mandat remise à l’honorable John Duncan, ministre des Affaires autochtones et du développement du Nord canadien.",Communication partielle,616,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2013,1,A-2012-00574,"Copie du plus récent dossier ministériel de synthèse fourni à l’honorable John Duncan, ministre des Affaires autochtones et du développement du Nord canadien, y compris toute note ou toute information supplémentaire sur le Nunavut.  Copie de la plus récente lettre de mandat remise à l’honorable John Duncan, ministre des Affaires autochtones et du développement du Nord canadien.",Communication partielle,616,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2013,1,A-2012-00622,Copies de toute la correspondance du 1er janvier 1993 au 31 décembre 2010 entre AADNC et la Première Nation de Constance Lake concernant le montant facturé ou à facturer pour la location des terres désignées ou le taux du loyer à facturer pour les terres désignées.,Communication partielle,120,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2014,1,A-2012-00622,Copies de toute la correspondance du 1er janvier 1993 au 31 décembre 2010 entre AADNC et la Première Nation de Constance Lake concernant le montant facturé ou à facturer pour la location des terres désignées ou le taux du loyer à facturer pour les terres désignées.,Communication partielle,120,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2013,1,A-2012-00691,"Toute la correspondance créée et reçue du 1er janvier 1982 au 15 avril 1985 entre AADNC et la société Lecours Lumber Co. Limited au sujet de la négociation, de la rédaction et de la signature d’un contrat de location avec Lecours Lumber Co. Limited.",Communication partielle,49,duplicate with differences
Affaires autochtones et Développement du Nord Canada,2014,1,A-2012-00691,"Toute la correspondance créée et reçue du 1er janvier 1982 au 15 avril 1985 entre AADNC et la société Lecours Lumber Co. Limited au sujet de la négociation, de la rédaction et de la signature d’un contrat de location avec Lecours Lumber Co. Limited.",Communication partielle,49,duplicate with differences
